# Sedes municipais p/ camada 'Cidades' — gerado por tools/gera_cidades_ibge.py
# Fontes: IBGE (coordenadas/capital + agregado 6579). Corte: pop>=12000
nome,uf,lat,lon,populacao,capital
Santo Amaro,BA,-12.5472,-38.7137,58398,0
Ribeira do Pombal,BA,-10.8373,-38.5382,56316,0
Santo Estêvão,BA,-12.428,-39.2505,55146,0
Caetité,BA,-14.0684,-42.4861,54730,0
Barra,BA,-11.0859,-43.1459,53642,0
Tucano,BA,-10.9584,-38.7894,51016,0
Poções,BA,-14.5234,-40.3634,50773,0
Araci,BA,-11.3253,-38.9584,50308,0
Catu,BA,-12.3513,-38.3791,50109,0
Monte Santo,BA,-10.4374,-39.3321,49807,0
Seabra,BA,-12.4169,-41.7722,48721,0
Jaguaquara,BA,-13.5248,-39.964,47624,0
Xique-Xique,BA,-10.823,-42.7245,47019,0
Livramento de Nossa Senhora,BA,-13.6369,-41.8432,46376,0
Vera Cruz,BA,-12.9568,-38.6153,45191,0
Mata de São João,BA,-12.5307,-38.3009,44962,0
Macaúbas,BA,-13.0186,-42.6945,43653,0
São Sebastião do Passé,BA,-12.5123,-38.4905,42944,0
Remanso,BA,-9.6194,-42.0848,42855,0
Ipiaú,BA,-14.1226,-39.7353,42429,0
São Gonçalo dos Campos,BA,-12.4331,-38.9663,42171,0
Nova Viçosa,BA,-17.8926,-39.3743,41629,0
São Francisco do Conde,BA,-12.6183,-38.6786,41110,0
Santa Maria da Vitória,BA,-13.3859,-44.2011,40474,0
Sento Sé,BA,-9.7414,-41.8786,40232,0
Mucuri,BA,-18.0754,-39.5565,40114,0
Santaluz,BA,-11.2508,-39.375,40066,0
Entre Rios,BA,-11.9392,-38.0871,39890,0
Cansanção,BA,-10.6647,-39.4944,39725,0
Jeremoabo,BA,-10.0685,-38.3471,39539,0
Amargosa,BA,-13.0215,-39.602,38585,0
Barra do Choça,BA,-14.8654,-40.5791,38581,0
Conceição do Jacuípe,BA,-12.3268,-38.7684,37622,0
Prado,BA,-17.3364,-39.2227,37533,0
Pilão Arcado,BA,-10.0051,-42.4936,37388,0
Maragogipe,BA,-12.776,-38.9175,37041,0
Rio Real,BA,-11.4814,-37.9332,36966,0
Serra do Ramalho,BA,-13.5659,-43.5929,36252,0
Curaçá,BA,-8.9846,-39.8997,36127,0
Itiúba,BA,-10.6948,-39.8446,35490,0
Capim Grosso,BA,-11.3797,-40.0089,35437,0
Inhambupe,BA,-11.781,-38.355,35390,0
Morro do Chapéu,BA,-11.5488,-41.1565,35235,0
Riachão do Jacuípe,BA,-11.8067,-39.3818,35188,0
São Desidério,BA,-12.3572,-44.9769,34982,0
Jaguarari,BA,-10.2569,-40.1999,34528,0
Canavieiras,BA,-15.6722,-38.9536,34392,0
Correntina,BA,-13.3477,-44.6333,34266,0
Esplanada,BA,-11.7942,-37.9432,34163,0
Gandu,BA,-13.7441,-39.4747,34051,0
Pojuca,BA,-12.4303,-38.3374,33573,0
Itapicuru,BA,-11.3088,-38.2262,33284,0
Campo Alegre de Lourdes,BA,-9.5222,-43.0126,32500,0
Cícero Dantas,BA,-10.5897,-38.3794,32292,0
Riacho de Santana,BA,-13.6059,-42.9397,32060,0
Camamu,BA,-13.9398,-39.1071,31694,0
Santa Cruz Cabrália,BA,-16.2825,-39.0295,31007,0
Paratinga,BA,-12.687,-43.1798,30680,0
Cachoeira,BA,-12.5994,-38.9587,30498,0
Carinhanha,BA,-14.2985,-43.7724,30439,0
Muritiba,BA,-12.6329,-38.9921,30180,0
Ruy Barbosa,BA,-12.2816,-40.4931,29590,0
Itabela,BA,-16.5732,-39.5593,29588,0
Irará,BA,-12.0504,-38.7631,29572,0
Itacaré,BA,-14.2784,-38.9959,29496,0
Presidente Tancredo Neves,BA,-13.4471,-39.4203,29489,0
Maracás,BA,-13.4355,-40.4323,29330,0
